date;age;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
31.12.2000;unter 1 Jahr;106304;121206;29486;18584;5961;15860;58994;13228;79391;174905;37906;8615;33032;18577;27025;17480
31.12.2000;1-Jährige;108947;123962;29029;18481;5885;15734;59238;12554;80797;176902;38509;8940;31286;17948;27915;16813
31.12.2000;2-Jährige;112293;127715;28343;18137;6027;15643;60714;12236;83871;182981;40318;9118;29995;17246;28581;16548
31.12.2000;3-Jährige;117026;131037;28151;17930;6188;15880;62904;12127;87653;191162;42275;9871;28877;16981;30051;16561
31.12.2000;4-Jährige;115085;129985;27318;16994;6086;15418;62161;11303;85971;189351;41950;10006;27071;16024;29957;15230
31.12.2000;5-Jährige;113157;127166;26167;15517;5980;14724;59964;10193;83896;184606;40991;9743;24317;14650;28778;13891
31.12.2000;6-Jährige;114265;129724;25922;14868;5832;14922;60833;9455;85649;189049;42244;10127;23341;14454;29175;12942
31.12.2000;7-Jährige;118531;136253;26077;14798;5965;14758;62353;9980;89746;197691;44648;10783;24084;14786;30467;13673
31.12.2000;8-Jährige;119675;137791;27145;16318;6221;15326;62996;11310;90403;202507;45633;11187;25834;16517;30911;14992
31.12.2000;9-Jährige;122237;139938;28276;19963;6286;15779;64279;13754;91853;206931;46700;11507;31349;19392;31547;17653
31.12.2000;10-Jährige;126072;144979;34488;31396;6401;16254;66635;22211;94623;212503;48355;12041;48639;30446;32450;27906
31.12.2000;11-Jährige;122246;139633;35394;34270;6402;15621;65258;24379;91219;206247;46985;11631;52192;32516;31451;29557
31.12.2000;12-Jährige;125251;141301;36644;36767;6389;16085;65957;26088;93081;209878;48319;11836;55455;34873;31885;32296
31.12.2000;13-Jährige;119411;134632;36385;38178;6353;15065;63613;27931;89833;203731;46731;11672;58131;36259;30298;33570
31.12.2000;14-Jährige;118770;133961;35645;37556;6165;14719;62283;27203;88065;198802;45753;11627;57232;35635;29046;33293
31.12.2000;15-Jährige;113048;127401;35303;38744;5946;14578;59907;27689;84138;188531;43342;10953;58432;35843;27370;33789
31.12.2000;16-Jährige;113220;128010;35122;38554;5966;14484;60488;27380;83010;187303;43696;10884;58702;36131;27244;34106
31.12.2000;17-Jährige;113666;129773;35772;38566;6529;15356;60663;27692;84311;189171;43396;10924;59246;36731;27319;34515
31.12.2000;18-Jährige;117637;134260;37178;39008;6828;16092;63584;28225;86774;195317;44821;11426;60384;36229;28633;35640
31.12.2000;19-Jährige;119690;137204;38448;37386;7029;17195;64696;26747;87806;196074;45242;11653;59141;35659;29038;34444
31.12.2000;20-Jährige;122964;138590;41036;36652;7285;18632;66320;27242;88290;198718;45309;11754;60512;35597;29430;35075
31.12.2000;21-Jährige;117277;134393;40593;34232;7200;19112;64315;25257;84901;189501;43001;11198;57875;33093;27966;32943
31.12.2000;22-Jährige;116478;134655;41638;32838;7387;20240;65259;24111;84922;189782;42824;10855;57264;32318;28685;31084
31.12.2000;23-Jährige;117899;136517;42953;30499;7501;21611;66166;22802;85163;193017;42307;11012;55290;30243;28725;29885
31.12.2000;24-Jährige;121170;138575;43550;26659;7825;23340;68124;19211;86406;197584;42491;10695;48330;26170;29544;26390
31.12.2000;25-Jährige;120323;137515;43747;24596;7729;23712;68037;17745;84393;195098;41644;10655;45591;24388;29078;24563
31.12.2000;26-Jährige;124716;142497;43682;24068;7905;24252;69979;16827;87184;200027;42733;10872;44774;24248;29569;24912
31.12.2000;27-Jährige;126011;144707;44266;24166;8163;24387;72186;17016;89471;205033;43771;10757;45135;25186;30375;25344
31.12.2000;28-Jährige;138793;159566;47176;27203;8885;26883;79257;18433;99133;226619;48295;12056;49480;28887;33974;28246
31.12.2000;29-Jährige;151333;174857;53642;31882;9538;28868;87704;21456;109453;248886;53328;13468;58143;34269;38616;31897
31.12.2000;30-Jährige;158437;184662;55009;33161;10005;29915;92487;22378;115721;263782;56378;13913;58898;34812;41044;32985
31.12.2000;31-Jährige;171417;200506;58139;34611;10626;32017;100032;23220;126213;288957;61574;15634;59129;35726;45641;33409
31.12.2000;32-Jährige;180818;210652;61157;36676;11301;34273;105472;24740;132425;302996;64861;16414;60610;36910;48970;33924
31.12.2000;33-Jährige;185098;215844;62130;39413;11371;34463;107537;26029;135893;310619;66502;17116;62709;38333;50329;34927
31.12.2000;34-Jährige;190195;219239;65435;42749;11595;34486;110334;28162;138905;316803;68715;17584;66429;40200;50576;37482
31.12.2000;35-Jährige;189702;218669;67614;45375;11390;33435;110785;29995;138421;317366;69260;17941;69501;42134;49586;38831
31.12.2000;36-Jährige;192766;222468;68584;47702;11067;33803;111967;31456;139048;321616;70798;18383;72475;43915;49649;40884
31.12.2000;37-Jährige;190017;219811;67918;49613;10591;32037;111023;33016;137716;317017;71282;18681;73562;45608;48407;41865
31.12.2000;38-Jährige;184528;213519;64622;49863;10676;29996;106561;32881;133250;304896;69151;18313;72433;44973;46739;41689
31.12.2000;39-Jährige;181620;210560;61084;49614;10296;28333;103625;33517;132114;299890;68993;18528;72540;45008;45507;42759
31.12.2000;40-Jährige;176384;203374;58167;48139;10068;28043;101129;32823;128115;296584;68141;17934;69713;43706;43836;41166
31.12.2000;41-Jährige;168628;196648;55784;47147;9850;26071;97857;32073;123723;288028;66110;18267;69283;42829;42385;40783
31.12.2000;42-Jährige;161774;187834;51018;43628;9580;25033;93842;30303;117364;276149;62915;17773;64153;40444;40143;38143
31.12.2000;43-Jährige;157514;183427;49200;42485;9483;23919;91844;29662;115913;272211;62660;17202;64075;40014;39675;38073
31.12.2000;44-Jährige;154679;176992;48454;42371;9247;22888;89225;29751;112276;263683;60539;16710;65168;40492;37556;38925
31.12.2000;45-Jährige;146900;168132;47963;43029;9185;22051;85945;29946;107998;254853;58830;16075;67351;41613;36916;39243
31.12.2000;46-Jährige;142988;165701;47332;42315;8924;21292;84512;29964;106620;251721;58416;16238;67075;41063;36889;38745
31.12.2000;47-Jährige;137922;159740;46741;41836;8625;20518;82013;29244;103221;240896;56791;15902;67551;41269;35672;38541
31.12.2000;48-Jährige;139019;162054;46507;40752;8669;20929;82975;28485;104919;240931;56722;15750;68574;41018;35811;38023
31.12.2000;49-Jährige;135230;157738;47131;39772;8746;20816;81917;27504;103795;233712;55683;15247;70310;39238;35997;38026
31.12.2000;50-Jährige;137767;160951;49605;37453;8903;21748;84502;25534;105436;237339;56804;15717;67453;38754;36537;36195
31.12.2000;51-Jährige;135419;158062;46533;31583;9059;21777;84548;21985;104064;236575;55545;16013;59260;34569;36728;32371
31.12.2000;52-Jährige;127121;152105;42947;27420;8506;21458;80276;19141;97191;219480;48348;14242;47562;29318;36297;28031
31.12.2000;53-Jährige;119176;150221;40196;26376;8197;20613;75814;17915;89510;203762;43251;11562;47540;28711;34051;26719
31.12.2000;54-Jährige;105188;134055;32081;17818;8130;19587;65678;11860;84832;188604;39019;9548;35855;23475;32250;22322
31.12.2000;55-Jährige;92201;109334;36110;21209;6754;17681;55665;12736;67544;162152;33115;8926;42702;23858;26956;21006
31.12.2000;56-Jährige;119420;141306;47593;31874;8488;22234;74255;19198;90567;208987;43505;12143;62148;33654;35838;30643
31.12.2000;57-Jährige;121186;142261;49935;34484;8811;22450;73908;21122;94286;210955;43646;11878;61667;34975;37352;31055
31.12.2000;58-Jährige;120314;139210;47562;33611;8771;22080;70485;20750;92356;207209;42966;11769;57438;34816;36395;29345
31.12.2000;59-Jährige;143608;168893;55052;42572;9830;24974;84596;26917;112882;246193;53727;15181;71875;42889;44013;37800
31.12.2000;60-Jährige;150954;181050;53020;43035;10288;25654;90799;27644;119009;266801;58803;16040;74269;44464;44853;41087
31.12.2000;61-Jährige;148750;178303;49084;42464;9996;24303;87712;28095;116924;261861;58249;16391;73299;43470;44810;40214
31.12.2000;62-Jährige;139345;162128;45444;39510;9677;23394;80765;26579;112191;248665;54768;15420;67068;39568;42289;35643
31.12.2000;63-Jährige;129966;148784;43059;36674;9243;21771;75568;24619;104000;235037;51631;15360;61793;37162;39196;32921
31.12.2000;64-Jährige;125916;143642;41287;36069;8907;21142;73640;24052;100217;228578;50962;15615;61304;36257;37398;32246
31.12.2000;65-Jährige;120278;136180;40195;35547;8312;20752;70345;23336;95960;222181;48926;14156;61076;35466;35293;31445
31.12.2000;66-Jährige;109491;125859;37067;32882;7677;18124;65530;22327;88641;209614;45491;12546;56813;33257;32105;29290
31.12.2000;67-Jährige;92347;106606;26823;25418;5929;14121;52656;18072;69553;166084;37358;10848;44416;26889;24184;23228
31.12.2000;68-Jährige;90593;106942;24996;24910;5990;13534;51846;18102;70133;165792;37195;11061;43994;26464;23559;23411
31.12.2000;69-Jährige;91382;106490;25649;24884;5968;14007;52556;17577;71051;168926;38123;11226;45811;26842;23758;23476
31.12.2000;70-Jährige;94465;110561;26604;25404;6307;15056;55495;17470;74382;179400;40143;11384;48827;27854;24532;24757
31.12.2000;71-Jährige;90265;106428;25505;23551;6179;14607;54201;16071;71280;172495;38813;10950;47499;26626;24059;23519
31.12.2000;72-Jährige;88887;105387;24153;22082;6443;14639;53794;15012;71395;169297;38706;10760;44877;25975;24068;23120
31.12.2000;73-Jährige;81420;97754;21862;19091;5764;13594;49607;13060;67078;155494;36049;10036;40015;22818;21899;20811
31.12.2000;74-Jährige;78865;96124;21360;18057;5696;13427;49159;11914;64314;148525;34921;9520;39025;21495;21159;19983
31.12.2000;75-Jährige;76568;93197;20692;16891;5542;13460;47708;11257;63399;143595;33831;9247;36739;20797;21603;19022
31.12.2000;76-Jährige;68899;85419;17934;14773;4996;12333;43945;9943;57424;131583;30785;8937;32319;18609;19398;17045
31.12.2000;77-Jährige;67314;83588;15887;13554;5011;11475;41761;9279;54053;121340;29270;9053;31637;17506;18885;16313
31.12.2000;78-Jährige;66198;83318;16988;13776;5068;11836;41558;9023;54660;122010;29221;8180;32855;17900;18928;16248
31.12.2000;79-Jährige;66697;82739;18182;14109;5206;12072;41195;9309;54302;117926;27830;7681;34465;17988;19473;16477
31.12.2000;80-Jährige;62602;76373;18636;13191;4902;12017;38934;8464;49862;106433;25147;6484;33140;17038;18280;15200
31.12.2000;81-Jährige;45249;55623;13518;9164;3588;8629;27106;5811;35908;76462;18219;4680;21769;11270;12982;10221
31.12.2000;82-Jährige;27319;33487;8380;5163;2220;5207;16291;3303;21820;48767;11208;3227;11856;6435;8073;5440
31.12.2000;83-Jährige;23741;30222;7307;4604;1998;4590;14465;2990;19657;43292;10003;2827;9963;5623;7293;4812
31.12.2000;84-Jährige;24139;29447;7793;4743;2006;4755;14319;3064;20128;44084;10057;2737;10414;5381;7425;4985
31.12.2000;85-Jährige;28788;33955;9369;5779;2386;5860;17102;3627;23623;50304;11619;2900;13620;6753;8793;6206
31.12.2000;86-Jährige;33502;39276;10568;6822;2708;6565;19679;4226;27185;56839;13386;3336;15667;7798;9631;7144
31.12.2000;87-Jährige;29471;34499;10097;6272;2368;5659;17418;3760;23634;49430;11422;2969;14038;7083;8613;6273
31.12.2000;88-Jährige;25313;29580;9120;5420;2020;5108;15001;3292;20667;41788;9871;2534;12347;5908;7513;5350
31.12.2000;89-Jährige;20170;22898;7687;4267;1686;4260;11930;2460;16093;33093;7628;1883;9521;4507;6136;3920
31.12.2000;90 Jahre und mehr;64990;72625;27724;14395;5543;13991;40368;7873;53926;112296;27158;6265;30972;14552;20725;12300
31.12.2000;Insgesamt;10524415;12230255;3382169;2601962;660225;1715392;6068129;1775703;7926193;18009865;4034557;1068703;4425581;2615375;2789761;2431255
31.12.2002;unter 1 Jahr;99888;114154;28652;17773;5450;15475;55205;12468;73095;163265;34921;7878;31463;17551;25063;16949
31.12.2002;1-Jährige;102792;117380;28283;17970;5709;15413;56612;12920;76345;168335;36458;8223;31779;17889;26147;17292
